Algorithm,Accuracy,Precision,Recall,F1-Score
Random Forest,0.8771929824561403,0.8834064327485381,0.8771929824561403,0.8747397158309307
Decision Tree,0.8157894736842105,0.8158858685174476,0.8157894736842105,0.8144235945013539
Logistic Regression,0.7368421052631579,0.7278695103772503,0.7368421052631579,0.7082595912859071
